task,test_rmse,test_std,model_path,top20_features
Microbiota Richness (Root) with Plant OTUs,1.0050938707419348,1.1169306729810924,model_rich/models/Microbiota_Richness_(Root)_with_Plant_OTUs_xgb.model,Phosphore:6.9595;plant_OTU202:6.0861;PPT_sm:6.0641;Calcium:5.5870;Aluminium:5.1184;plant_OTU114:5.1095;plant_OTU18:5.0599;plant_OTU3:4.9558;plant_OTU143:4.8364;OC:4.7381;plant_OTU145:4.6573;plant_OTU83:4.5295;plant_OTU198:4.4212;plant_OTU154:4.2748;Sodium:4.2365;plant_OTU46:4.1085;plant_OTU179:3.9281;MAT:3.9023;plant_OTU15:3.5688;WHC:3.5144
Microbiota Richness (Leaf) with Plant OTUs,1.3402048103332023,1.3310274907757103,model_rich/models/Microbiota_Richness_(Leaf)_with_Plant_OTUs_xgb.model,plant_OTU179:12.0780;plant_OTU71:11.1702;plant_OTU67:9.4225;plant_OTU143:9.2637;Magnesium:9.0436;plant_OTU8:8.8281;plant_OTU216:8.3434;plant_OTU7:8.2936;plant_OTU15:8.0836;SOM:7.9913;Elevation:7.9173;CN:7.6277;Potassium:7.5222;Sodium:7.3746;plant_OTU198:7.1184;PPT_sm:7.0960;Iron:6.9694;plant_OTU18:6.3970;Phosphore:6.1833;plant_OTU132:6.1081
Microbiota Richness (Root) with Plant Metrics,1.1071164141519698,1.1169306729810924,model_rich/models/Microbiota_Richness_(Root)_with_Plant_Metrics_xgb.model,plant_richness:4.5222;Calcium:4.2010;Phosphore:4.0471;OC:4.0224;SOM:3.9364;PPT_sm:3.7109;Nitrogen:3.0287;Manganese:2.6211;Sodium:2.5180;Iron:2.3243;longitude:2.3242;Aluminium:2.0803;pH:1.9619;latitude:1.9378;plant_Shannon:1.8924;Magnesium:1.7147;WHC:1.6965;MAT:1.5620;Potassium:1.3845;PPT_at:1.3719
Microbiota Richness (Leaf) with Plant Metrics,1.3838555324622952,1.3310274907757103,model_rich/models/Microbiota_Richness_(Leaf)_with_Plant_Metrics_xgb.model,plant_richness:7.3499;PPT_sm:7.2197;plant_Shannon:6.7109;SOM:6.2776;CN:5.9325;pH:5.8420;WHC:5.7999;Iron:5.5715;PPT_at:5.2731;MCMT:5.1509;OC:5.0976;Aluminium:5.0567;MAT:4.8196;Potassium:4.4546;Manganese:4.3539;Sodium:4.1657;Nitrogen:3.9099;PPT_sp:3.8959;Magnesium:3.8043;Calcium:3.6317
Microbiota Shannon (Root) with Plant OTUs,0.2752517534353289,0.25314543385423727,model_rich/models/Microbiota_Shannon_(Root)_with_Plant_OTUs_xgb.model,plant_OTU88:0.1587;plant_OTU143:0.1243;plant_OTU3:0.1169;longitude:0.1166;plant_OTU179:0.1023;plant_OTU145:0.0792;plant_OTU154:0.0781;plant_OTU234:0.0765;Phosphore:0.0735;Aluminium:0.0608;plant_OTU71:0.0601;plant_OTU83:0.0563;plant_OTU113:0.0483;Nitrogen:0.0481;MAT:0.0465;plant_OTU100:0.0463;plant_OTU67:0.0445;plant_OTU159:0.0437;plant_OTU149:0.0408;PPT_wt:0.0405
Microbiota Shannon (Leaf) with Plant OTUs,0.2374022600823391,0.23708230774949685,model_rich/models/Microbiota_Shannon_(Leaf)_with_Plant_OTUs_xgb.model,plant_OTU67:0.4592;plant_OTU216:0.4482;Elevation:0.3374;longitude:0.2722;OC:0.2626;WHC:0.2546;Phosphore:0.2498;PPT_sm:0.2487;Nitrogen:0.2325;Sodium:0.2256;latitude:0.2152;plant_OTU113:0.2108;plant_OTU132:0.2086;pH:0.2075;Magnesium:0.2005;Iron:0.2002;plant_OTU71:0.1906;Potassium:0.1810;plant_OTU88:0.1757;MAT:0.1732
Microbiota Shannon (Root) with Plant Metrics,0.269054154929992,0.25314543385423727,model_rich/models/Microbiota_Shannon_(Root)_with_Plant_Metrics_xgb.model,longitude:0.2015;Phosphore:0.1541;plant_richness:0.1390;MCMT:0.1019;OC:0.0977;Nitrogen:0.0948;Aluminium:0.0898;Potassium:0.0887;Iron:0.0847;Magnesium:0.0826;SOM:0.0803;plant_Shannon:0.0760;latitude:0.0759;PPT_at:0.0749;pH:0.0742;Manganese:0.0723;WHC:0.0586;CN:0.0544;Calcium:0.0541;PPT_sm:0.0510
Microbiota Shannon (Leaf) with Plant Metrics,0.2556915018909297,0.23708230774949685,model_rich/models/Microbiota_Shannon_(Leaf)_with_Plant_Metrics_xgb.model,longitude:0.1245;PPT_sm:0.1240;CN:0.1091;plant_richness:0.0988;Nitrogen:0.0956;Potassium:0.0898;plant_Shannon:0.0885;Calcium:0.0882;Elevation:0.0811;Magnesium:0.0803;Phosphore:0.0793;MCMT:0.0786;PPT_at:0.0766;OC:0.0663;SOM:0.0644;Aluminium:0.0592;Iron:0.0581;PPT_sp:0.0533;WHC:0.0525;pH:0.0522
Pathobiota Richness (Root) with Plant OTUs,0.23122454913278187,0.22759919092467426,model_rich/models/Pathobiota_Richness_(Root)_with_Plant_OTUs_xgb.model,plant_OTU113:0.2432;plant_OTU109:0.2295;PPT_sm:0.1639;PPT_sp:0.1561;OC:0.1522;Sodium:0.1478;SOM:0.1399;plant_OTU65:0.1243;plant_OTU100:0.1201;Elevation:0.1109;Nitrogen:0.1083;plant_OTU1:0.0981;plant_OTU46:0.0833;plant_OTU87:0.0794;PPT_at:0.0713;MCMT:0.0704;plant_OTU202:0.0695;plant_OTU67:0.0632;Potassium:0.0616;Manganese:0.0548
Pathobiota Richness (Leaf) with Plant OTUs,0.4946941907213855,0.49356700021006056,model_rich/models/Pathobiota_Richness_(Leaf)_with_Plant_OTUs_xgb.model,Potassium:2.3272;plant_OTU109:2.2259;OC:2.1281;longitude:2.0089;plant_OTU143:1.8656;SOM:1.7391;plant_OTU223:1.7290;CN:1.7209;plant_OTU3:1.7084;Aluminium:1.6813;PPT_wt:1.6727;plant_OTU18:1.5788;Magnesium:1.4936;Phosphore:1.4476;latitude:1.3919;PPT_at:1.3812;PPT_sm:1.3631;plant_OTU113:1.3548;Sodium:1.3275;plant_OTU67:1.2891
Pathobiota Richness (Root) with Plant Metrics,0.23012738097906157,0.22759919092467426,model_rich/models/Pathobiota_Richness_(Root)_with_Plant_Metrics_xgb.model,PPT_sm:0.1777;OC:0.1609;PPT_sp:0.1451;Elevation:0.1359;Nitrogen:0.0785;PPT_at:0.0782;Sodium:0.0705;Manganese:0.0696;MCMT:0.0683;CN:0.0550;plant_Shannon:0.0518;Potassium:0.0494;Iron:0.0491;Calcium:0.0486;plant_richness:0.0477;PPT_wt:0.0454;pH:0.0453;latitude:0.0440;longitude:0.0413;WHC:0.0360
Pathobiota Richness (Leaf) with Plant Metrics,0.5007956425283324,0.49356700021006056,model_rich/models/Pathobiota_Richness_(Leaf)_with_Plant_Metrics_xgb.model,longitude:2.3166;Potassium:2.1088;PPT_wt:1.8877;MAT:1.8257;SOM:1.8131;Phosphore:1.6220;latitude:1.6182;CN:1.5579;PPT_sm:1.5495;MCMT:1.4867;Elevation:1.4784;Calcium:1.3776;Nitrogen:1.3612;WHC:1.3451;PPT_sp:1.3170;pH:1.2524;Aluminium:1.2372;Sodium:1.2352;OC:0.8974;plant_richness:0.8659
Pathobiota Shannon (Root) with Plant OTUs,0.11519865661565272,0.11494978312690925,model_rich/models/Pathobiota_Shannon_(Root)_with_Plant_OTUs_xgb.model,Elevation:0.0811;plant_OTU113:0.0723;PPT_at:0.0709;PPT_sm:0.0570;OC:0.0503;WHC:0.0491;plant_OTU216:0.0439;Iron:0.0404;plant_OTU203:0.0358;MCMT:0.0356;Sodium:0.0310;longitude:0.0295;latitude:0.0280;Potassium:0.0273;plant_OTU27:0.0268;plant_OTU198:0.0261;plant_OTU154:0.0249;PPT_sp:0.0248;PPT_wt:0.0245;SOM:0.0240
Pathobiota Shannon (Leaf) with Plant OTUs,0.11926309560092775,0.11296695534417847,model_rich/models/Pathobiota_Shannon_(Leaf)_with_Plant_OTUs_xgb.model,plant_OTU78:0.2015;plant_OTU88:0.1518;plant_OTU109:0.1512;plant_OTU216:0.1288;Iron:0.0934;plant_OTU143:0.0814;OC:0.0796;SOM:0.0762;plant_OTU8:0.0718;MAT:0.0684;plant_OTU202:0.0675;CN:0.0661;Potassium:0.0634;MCMT:0.0615;plant_OTU179:0.0611;PPT_sp:0.0578;Phosphore:0.0574;PPT_wt:0.0554;plant_OTU198:0.0550;plant_OTU113:0.0512
Pathobiota Shannon (Root) with Plant Metrics,0.11546289953049066,0.11494978312690925,model_rich/models/Pathobiota_Shannon_(Root)_with_Plant_Metrics_xgb.model,Elevation:0.0468;MAT:0.0457;PPT_sm:0.0453;OC:0.0387;MCMT:0.0290;Nitrogen:0.0238;PPT_sp:0.0236;longitude:0.0236;plant_Shannon:0.0201;Potassium:0.0182;Calcium:0.0182;Sodium:0.0179;Phosphore:0.0176;PPT_at:0.0162;WHC:0.0151;Iron:0.0148;PPT_wt:0.0142;latitude:0.0122;Aluminium:0.0114;plant_richness:0.0087
Pathobiota Shannon (Leaf) with Plant Metrics,0.12177100221462657,0.11296695534417847,model_rich/models/Pathobiota_Shannon_(Leaf)_with_Plant_Metrics_xgb.model,OC:0.0540;CN:0.0531;PPT_at:0.0530;MCMT:0.0512;SOM:0.0491;PPT_sm:0.0489;PPT_wt:0.0469;plant_Shannon:0.0460;plant_richness:0.0435;Potassium:0.0424;PPT_sp:0.0420;Phosphore:0.0398;Elevation:0.0368;MAT:0.0348;latitude:0.0341;longitude:0.0331;Magnesium:0.0325;pH:0.0309;Nitrogen:0.0295;Sodium:0.0276
